wav_names,artist,n,newnames
2chainz_tru,2chainz,0,2chainz
2chainz_whistle,2chainz,1,2chainz1
bigboi_1,bigboi,0,bigboi
biggie_2,biggie,0,biggie
bigsean_boi2,bigsean,0,bigsean
bigsean_doit,bigsean,1,bigsean1
bigsean_holdup2,bigsean,2,bigsean2
bigsean_ohgod,bigsean,3,bigsean3
bigsean_stop,bigsean,4,bigsean4
bigsean_whoathere,bigsean,5,bigsean5
bigshaq,bigshaq,0,bigshaq
birdman_1,birdman,0,birdman
birdman_4,birdman,1,birdman1
birdman_respeck,birdman,2,birdman2
busta_6,busta,0,busta
chance_aghh2,chance,0,chance
desiigner_rahhh,desiigner,0,desiigner
diddy_5,diddy,0,diddy
drake_5,drake,0,drake
drake_worst,drake,1,drake1
drummaboy_1,drummaboy,0,drummaboy
fetty_yeahbaby,fetty,0,fetty
flava_1,flava,0,flava
future_brrr,future,0,future
gucci_1,gucci,0,gucci
gucci_14,gucci,1,gucci1
gucci_4,gucci,2,gucci2
jayz_itsyoboy,jayz,0,jayz
jayz5,jayz5,0,jayz1
kendrick_tootoo,kendrick,0,kendrick
khaled_blessup2,khaled,0,khaled
khaled_majorkey3,khaled,1,khaled1
khaled_theydontwant,khaled,2,khaled2
khaled_wethebest,khaled,3,khaled3
liljon_2,liljon,0,liljon
liljon_3,liljon,1,liljon1
nicki_laugh2,nicki,0,nicki
pitbull_6,pitbull,0,pitbull
ross_1,ross,0,ross
ross_2,ross,1,ross1
schoolboy_yawk,schoolboy,0,schoolboy
snoop_4,snoop,0,snoop
soulja_5,soulja,0,soulja
takeoff_money,takeoff,0,takeoff
tpain1,tpain1,0,tpain
traviscott_straightup,traviscott,0,traviscott
treysongz_uhunh,treysongz,0,treysongz
trick_2,trick,0,trick
waka_1,waka,0,waka
weezy_4,weezy,0,weezy
yg_skrrt,yg,0,yg
